Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Honda,Urban,Feb,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Feb,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Rural,Jan,Female,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Jul,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,3 to 4,1994,All Perils
Mazda,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Mar,Male,Single,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Oct,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,1994,Collision
Pontiac,Urban,Feb,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jan,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,500,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,1994,Collision
Honda,Urban,Mar,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Mar,Female,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,2 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Accura,Urban,Sep,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
VW,Urban,Jul,Male,Single,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Rural,Jun,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Female,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Feb,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Honda,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Accura,Urban,Feb,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Ford,Urban,Mar,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Mazda,Urban,Mar,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Mar,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Mar,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Urban,Oct,Male,Married,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Ford,Urban,May,Male,Married,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Urban,Apr,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Rural,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
VW,Urban,Oct,Female,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jan,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Mar,Male,Single,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Liability
Pontiac,Urban,Aug,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Rural,Jul,Male,Married,Third Party,Sedan - All Perils,Sedan,40000 to 59000,0,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jul,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Rural,Jun,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,1,6 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Single,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Accura,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jun,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,4 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Jul,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Mar,Male,Single,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Oct,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Honda,Urban,Jun,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Mazda,Rural,Mar,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Aug,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Apr,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Apr,Male,Single,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Rural,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Mar,Male,Married,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
Toyota,Urban,Mar,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Mar,Male,Single,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Mar,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Rural,Jan,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,4,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Ford,Rural,Jan,Male,Married,Third Party,Sedan - Liability,Sport,40000 to 59000,0,400,3,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Feb,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,more than 4,3 years,26 to 30,No,No,External,1 to 2,2 to 3 years,1 vehicle,1994,All Perils
Toyota,Urban,Feb,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Pontiac,Rural,Feb,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Honda,Urban,Apr,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Apr,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Feb,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Rural,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Feb,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Rural,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jan,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Jan,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Feb,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,0,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
Honda,Urban,Feb,Male,Married,Third Party,Sedan - Collision,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Feb,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Mazda,Rural,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Ford,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Pontiac,Urban,Feb,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,Feb,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Feb,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1994,Collision
Pontiac,Urban,Feb,Male,Married,Third Party,Sedan - All Perils,Sedan,less than 20000,0,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Jan,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Saab,Urban,Feb,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Mar,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
